room,rt_s,file,label_better_ear_ud_dB,ud_diotic_dB,binaural_gain_dB,duration_s,onset_ms,ir_length_gate,orig_sr,error
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos7_binaural.wav,-5.588,-4.622,-0.966,2.575,11.8,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos7_binaural.wav,-5.588,-4.622,-0.966,2.575,11.8,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos8_binaural.wav,-7.415,-6.08,-1.335,2.643,12.7,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S1_Pos8_binaural.wav,-7.415,-6.08,-1.335,2.643,12.7,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos10_binaural.wav,-0.246,-1.223,0.977,2.585,12.2,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos10_binaural.wav,-0.246,-1.223,0.977,2.585,12.2,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos11_binaural.wav,-1.951,-0.362,-1.589,2.573,14.1,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos11_binaural.wav,-1.951,-0.362,-1.589,2.573,14.1,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos12_binaural.wav,-2.001,-1.181,-0.821,2.609,11.9,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos12_binaural.wav,-2.001,-1.181,-0.821,2.609,11.9,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos9_binaural.wav,-7.927,-7.557,-0.37,2.472,11.2,SHORT,96000,
102_Parliament Sessions Hall_2.27,2.27,Stereo_Binaural_IR_S2_Pos9_binaural.wav,-7.927,-7.557,-0.37,2.472,11.2,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos1_binaural.wav,-4.964,-3.847,-1.117,2.309,12.5,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos1_binaural.wav,-4.964,-3.847,-1.117,2.309,12.5,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-4.616,-3.307,-1.309,2.309,13.5,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-4.616,-3.307,-1.309,2.309,13.5,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-3.076,-2.473,-0.603,2.302,12.1,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-3.076,-2.473,-0.603,2.302,12.1,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos4_binaural.wav,-3.561,-2.313,-1.248,2.35,12.7,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos4_binaural.wav,-3.561,-2.313,-1.248,2.35,12.7,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos5_binaural.wav,-4.955,-3.846,-1.109,2.287,12.8,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S1_Pos5_binaural.wav,-4.955,-3.846,-1.109,2.287,12.8,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S2_Pos5_binaural.wav,-3.5,-2.442,-1.058,2.289,14.0,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S2_Pos5_binaural.wav,-3.5,-2.442,-1.058,2.289,14.0,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S2_Pos6_binaural.wav,-4.875,-3.955,-0.92,2.364,12.3,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S2_Pos6_binaural.wav,-4.875,-3.955,-0.92,2.364,12.3,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S2_Pos7_binaural.wav,-3.235,-3.116,-0.119,2.296,12.0,SHORT,96000,
103_Parliament Senate Hall_2.21,2.21,Stereo_Binaural_IR_S2_Pos7_binaural.wav,-3.235,-3.116,-0.119,2.296,12.0,SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_Caixa_Palco_binaural.wav,0.374,1.273,-0.899,1.435,1.1,SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_Caixa_Palco_binaural.wav,0.374,1.273,-0.899,1.435,1.1,SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P10_2BalA10_binaural.wav,2.526,0.929,1.596,0.8,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P10_2BalA10_binaural.wav,2.526,0.929,1.596,0.8,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P1_B3_SF_binaural.wav,5.403,4.208,1.195,0.956,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P1_B3_SF_binaural.wav,5.403,4.208,1.195,0.956,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P2_B15_SF_binaural.wav,4.615,2.528,2.087,0.855,0.9,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P2_B15_SF_binaural.wav,4.615,2.528,2.087,0.855,0.9,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P3_F3_SF_binaural.wav,1.929,1.924,0.005,0.901,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P3_F3_SF_binaural.wav,1.929,1.924,0.005,0.901,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P4_F15_SF_binaural.wav,2.302,1.276,1.027,0.993,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P4_F15_SF_binaural.wav,2.302,1.276,1.027,0.993,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P5_J3_SF_binaural.wav,-0.904,-0.841,-0.062,0.823,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P5_J3_SF_binaural.wav,-0.904,-0.841,-0.062,0.823,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P6_J15_SF_binaural.wav,2.05,1.743,0.308,0.841,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P6_J15_SF_binaural.wav,2.05,1.743,0.308,0.841,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P7_TribP_SF_binaural.wav,0.859,0.925,-0.065,0.765,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P7_TribP_SF_binaural.wav,0.859,0.925,-0.065,0.765,1.0,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P8_1BalA15_SF_binaural.wav,2.26,1.165,1.094,0.816,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P8_1BalA15_SF_binaural.wav,2.26,1.165,1.094,0.816,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P9_1BalA5_SF_binaural.wav,2.516,1.66,0.856,0.844,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_P9_1BalA5_SF_binaural.wav,2.516,1.66,0.856,0.844,1.1,TOO_SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_Salao_Nobre_binaural.wav,-4.791,-3.963,-0.828,1.502,1.1,SHORT,96000,
104_Garrett Hall - D Maria II National Theatre_1.08,1.08,Stereo_Binaural_IR_Salao_Nobre_binaural.wav,-4.791,-3.963,-0.828,1.502,1.1,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos1_binaural.wav,3.327,3.448,-0.121,1.423,11.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos1_binaural.wav,3.327,3.448,-0.121,1.423,11.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos2_binaural.wav,2.181,1.885,0.296,1.521,11.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos2_binaural.wav,2.181,1.885,0.296,1.521,11.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos3_binaural.wav,-0.126,0.251,-0.377,1.421,10.7,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos3_binaural.wav,-0.126,0.251,-0.377,1.421,10.7,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos4_binaural.wav,-1.573,-1.869,0.297,1.339,10.3,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos4_binaural.wav,-1.573,-1.869,0.297,1.339,10.3,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos5_binaural.wav,3.047,3.506,-0.458,1.481,10.1,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Audience_Pos5_binaural.wav,3.047,3.506,-0.458,1.481,10.1,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Balc3ord_Pos12_binaural.wav,-0.172,-0.152,-0.019,1.391,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Balc3ord_Pos12_binaural.wav,-0.172,-0.152,-0.019,1.391,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Balc4ord_Pos13_binaural.wav,-0.527,-0.89,0.364,1.379,9.9,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Balc4ord_Pos13_binaural.wav,-0.527,-0.89,0.364,1.379,9.9,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam116_Pos14_binaural.wav,0.981,1.586,-0.605,1.493,10.1,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam116_Pos14_binaural.wav,0.981,1.586,-0.605,1.493,10.1,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam39_Pos7_binaural.wav,-0.799,-0.048,-0.751,1.27,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam39_Pos7_binaural.wav,-0.799,-0.048,-0.751,1.27,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam45_Pos8_binaural.wav,3.537,3.988,-0.45,1.293,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam45_Pos8_binaural.wav,3.537,3.988,-0.45,1.293,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam63_Pos10_binaural.wav,-0.14,0.933,-1.073,1.422,9.9,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam63_Pos10_binaural.wav,-0.14,0.933,-1.073,1.422,9.9,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam68_Pos9_binaural.wav,1.476,2.504,-1.029,1.491,9.9,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam68_Pos9_binaural.wav,1.476,2.504,-1.029,1.491,9.9,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam93_Pos11_binaural.wav,1.273,1.585,-0.313,1.358,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Cam93_Pos11_binaural.wav,1.273,1.585,-0.313,1.358,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Frisa17_Pos16_binaural.wav,-0.017,0.463,-0.48,1.425,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Frisa17_Pos16_binaural.wav,-0.017,0.463,-0.48,1.425,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Frisa23_Pos15_binaural.wav,5.216,5.569,-0.353,1.384,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Frisa23_Pos15_binaural.wav,5.216,5.569,-0.353,1.384,10.0,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Tribune_Pos6_binaural.wav,-1.635,-0.519,-1.116,1.278,10.4,SHORT,96000,
105_Sao Carlos National Theatre Main Opera Hall_1.18,1.18,Stereo_Binaural_IR_S1_Tribune_Pos6_binaural.wav,-1.635,-0.519,-1.116,1.278,10.4,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S1_Pos1_binaural.wav,1.108,1.583,-0.476,2.31,10.0,OK,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S1_Pos1_binaural.wav,1.108,1.583,-0.476,2.31,10.0,OK,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-1.754,-1.098,-0.656,1.876,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S1_Pos2_binaural.wav,-1.754,-1.098,-0.656,1.876,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-0.849,-1.119,0.27,1.887,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S1_Pos3_binaural.wav,-0.849,-1.119,0.27,1.887,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S2_Pos3_binaural.wav,-2.454,-1.779,-0.676,1.792,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S2_Pos3_binaural.wav,-2.454,-1.779,-0.676,1.792,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S2_Pos4_binaural.wav,-1.382,-0.606,-0.776,1.987,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S2_Pos4_binaural.wav,-1.382,-0.606,-0.776,1.987,10.2,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S2_Pos5_binaural.wav,-0.115,0.812,-0.927,1.982,10.4,SHORT,96000,
106_Sao Carlos National Theatre Great Hall_1.43,1.43,Stereo_Binaural_IR_S2_Pos5_binaural.wav,-0.115,0.812,-0.927,1.982,10.4,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos1_direita_binaural.wav,2.766,3.624,-0.858,3.248,11.3,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos1_direita_binaural.wav,2.766,3.624,-0.858,3.248,11.3,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos1_esquerda_binaural.wav,3.519,4.777,-1.258,3.5,9.9,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos1_esquerda_binaural.wav,3.519,4.777,-1.258,3.5,9.9,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos2_direita_binaural.wav,-1.398,-0.999,-0.398,3.198,10.8,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos2_direita_binaural.wav,-1.398,-0.999,-0.398,3.198,10.8,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos2_esquerda_binaural.wav,-2.789,-2.447,-0.341,3.449,10.4,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos2_esquerda_binaural.wav,-2.789,-2.447,-0.341,3.449,10.4,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos3_direita_binaural.wav,-4.528,-4.853,0.325,3.248,10.6,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos3_direita_binaural.wav,-4.528,-4.853,0.325,3.248,10.6,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos3_esquerda_binaural.wav,-3.518,-3.881,0.363,3.354,10.2,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos3_esquerda_binaural.wav,-3.518,-3.881,0.363,3.354,10.2,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos3_esquerda_orient_frente_binaural.wav,-3.448,-3.959,0.511,3.442,10.2,SHORT,96000,
107_St Dominic Convent Church_3.11,3.11,Stereo_Binaural_IR_Pos3_esquerda_orient_frente_binaural.wav,-3.448,-3.959,0.511,3.442,10.2,SHORT,96000,
